Account,Airdrop,GnoOption,UserOption,Claiming on:
0x00000000005dbcb0d0513fcda746382fe8a53468,99.81,0.00,0.00,Gnosis Chain
0x0000000000e52081b4531278fcd274e5f3cd86b5,99.81,0.00,0.00,Gnosis Chain
0x0000000034bc2b18f774362282b3319e78ea4ede,3.16,3.16,0.00,Gnosis Chain
0x00000000cc0b822819f03424dacf9077fdaa58a3,99.81,0.00,0.00,Gnosis Chain
0x00000001a0f57e850c9db68b4a9bc34677437c5c,99.81,0.00,0.00,Gnosis Chain
0x00000003cd3aa7e760877f03275621d2692f5841,"1,846.78",0.00,"1,152.07",Gnosis Chain
0x0000000525f401e23b450dc1dffd3c7286490b95,99.81,0.00,0.00,Gnosis Chain
0x00000005d8fe54bdf696d72db37c9bb09ac80088,206.26,0.00,0.00,Gnosis Chain
0x000000064730640b7d670408d74280924883064f,99.81,0.00,0.00,Gnosis Chain
0x000000109781b8fe1eeec8fb4507aa64bfca5914,99.81,0.00,0.00,Gnosis Chain
0x0000002e7af4dda4efffc7229400c578a9f34d00,99.81,0.00,0.00,Gnosis Chain
0x00000081c22fe36e0b47a4f1c67041301f945014,226.03,126.22,0.00,Gnosis Chain
0x00000087c4cebffb95746d1935de7fbcab092f40,995.16,0.00,"1,152.07",Gnosis Chain
0x000000aaee6a496aaf7b7452518781786313400f,8.89,8.89,0.00,Gnosis Chain
0x00000a600e64c26be24f64169c89f21c1f530000,"7,961.28",0.00,"11,520.74",Gnosis Chain
0x00000b20f0f6a3a212aa6b85106709cd5941457c,99.81,0.00,0.00,Gnosis Chain
0x000010b467dd057220c543c1d014ec06c2c7e206,99.81,0.00,0.00,Gnosis Chain
0x0000baa55a9c2a06a3922c563d8d9fcb1a0dbf2f,99.81,0.00,0.00,Gnosis Chain
0x0000ce08fa224696a819877070bf378e8b131acf,"9,149.78","1,188.50","11,520.74",Gnosis Chain
0x0000d211abbb7f8d9e126ed7deca862dae8784a6,99.81,0.00,0.00,Gnosis Chain
0x0000ecb341a3c0bb394f377d3a524703fb8b76fb,3.24,3.24,0.00,Gnosis Chain
0x000109758a583eff3c40cf845ee35a01582ba816,99.81,0.00,0.00,Gnosis Chain
0x00014039aa1a66fc1b78451d3b2a75b273894769,99.81,0.00,0.00,Gnosis Chain
0x0001477f5bd4bc28c7179f795adbad64e4688172,99.81,0.00,0.00,Gnosis Chain
0x00014ed7e7d51fd03a95fd5fbaf6098e5fe17bff,99.81,0.00,0.00,Gnosis Chain
0x000158e60c393b51fdfac71b14ce70b70148c326,99.81,0.00,0.00,Gnosis Chain
0x00015f4a9b778a81cde7a9e6330bf0e2b46a882b,99.81,0.00,0.00,Gnosis Chain
0x0002039f234e9bb0bdb880560677fb74df0a5510,4.65,4.65,0.00,Gnosis Chain
0x0002208085f5e1946500ad6616aa0ee2f19e826d,213.86,213.86,0.00,Gnosis Chain
0x00029d35cb7ae09d38037355a046791d7b5e1645,99.81,0.00,0.00,Gnosis Chain
0x00035ab46994cda43f150b2be16bb7ca423171c7,995.16,0.00,"1,152.07",Gnosis Chain
0x000729f1022cbf699dafc3928b6e92ce2fe33841,99.81,0.00,0.00,Gnosis Chain
0x0007448f4ba168e24c35f835eefa1a76587d691d,99.81,0.00,0.00,Gnosis Chain
0x00078895aa3aba42c1bb8e57daed3a60faea4cdd,3.34,3.34,0.00,Gnosis Chain
0x000814f58378c630cfaa2c6ffb8791897c5e93f0,"1,846.78",0.00,"1,152.07",Gnosis Chain
0x0008906ca2e1d42dfb6bbcda7f9b709a0cfa8dfc,995.16,0.00,"1,152.07",Gnosis Chain
0x00097db4baab538054544d233feff4285d9a9c6f,99.81,0.00,0.00,Gnosis Chain
0x0009f809c608cb283bf06571d1bbcfdbe7fdacd3,99.81,0.00,0.00,Gnosis Chain
0x000aa644afae99d06c9a0ed0e41b1e61beca958d,958.08,0.00,0.00,Gnosis Chain
0x000ab43e658935ba39504a1424b01756c1e9644c,106.45,0.00,0.00,Gnosis Chain
0x000bec82c41837d974899b26b26f9cc8890af9ea,99.81,0.00,0.00,Gnosis Chain
0x000c1aede0824a53f5ba7d6c8cc66f4b4b631c1a,99.81,0.00,0.00,Gnosis Chain
0x000c80fa7a229d3fc5f0ba27e1af0cd7c0f7777b,65.79,65.79,0.00,Gnosis Chain
0x000c9aaa593e3310343f48c0f561b9fa6393c94e,198.22,198.22,0.00,Gnosis Chain
0x000cd27f10dffac73201258eaa3925c0452051a0,99.81,0.00,0.00,Gnosis Chain
0x000ee82d8e64e9e452acec0fadee302ae2c1f01e,99.81,0.00,0.00,Gnosis Chain
0x000f4432a40560bbff1b581a8b7aded8dab80026,"2,985.48",0.00,"2,304.15",Gnosis Chain
0x000f4e41f9a155438e45ef2ff2c975bb7b7dd238,99.81,0.00,0.00,Gnosis Chain
0x000fd0a91e0fd9b7a51eadee3b97b123a5bbb02c,99.81,0.00,0.00,Gnosis Chain
0x001048c640325e8612b479922197d8acb0ac1c83,51.84,51.84,0.00,Gnosis Chain
0x001056ba541f8f1fd9f8e1300d10a18e7a478088,282.33,282.33,0.00,Gnosis Chain
0x0010f4919efb4d8950280e0f84c58de064ff99b9,99.81,0.00,0.00,Gnosis Chain
0x001410235f1f3b2810d9a82b9064a09ae7edcd87,99.81,0.00,0.00,Gnosis Chain
0x0016aeb9d2188c19f4044b0b92042f9091a3b812,31.58,31.58,0.00,Gnosis Chain
0x001809c3b4f5f1c3bb2feef98a43dd618d2c1c78,99.81,0.00,0.00,Gnosis Chain
0x0018c076dfdca7c61f04925a230a9b5a701228a4,"1,681.08","1,681.08",0.00,Gnosis Chain
