,Account,ClaimingOn,user_total_usd_value,Airdrop
0,0x00000000005dbcb0d0513fcda746382fe8a53468,Gnosis Chain,12138,99
1,0x0000000000e52081b4531278fcd274e5f3cd86b5,Gnosis Chain,180216,99
2,0x0000000034bc2b18f774362282b3319e78ea4ede,Gnosis Chain,3765,3
3,0x00000000cc0b822819f03424dacf9077fdaa58a3,Gnosis Chain,773,99
4,0x00000001a0f57e850c9db68b4a9bc34677437c5c,Gnosis Chain,41,99
5,0x00000003cd3aa7e760877f03275621d2692f5841,Gnosis Chain,900,1846
6,0x0000000525f401e23b450dc1dffd3c7286490b95,Gnosis Chain,1,99
7,0x00000005d8fe54bdf696d72db37c9bb09ac80088,Gnosis Chain,26496,206
8,0x000000064730640b7d670408d74280924883064f,Gnosis Chain,244327,99
9,0x000000109781b8fe1eeec8fb4507aa64bfca5914,Gnosis Chain,76264,99
10,0x0000002e7af4dda4efffc7229400c578a9f34d00,Gnosis Chain,332,99
11,0x00000081c22fe36e0b47a4f1c67041301f945014,Gnosis Chain,33330,226
12,0x00000087c4cebffb95746d1935de7fbcab092f40,Gnosis Chain,589156,995
13,0x000000aaee6a496aaf7b7452518781786313400f,Gnosis Chain,49070,8
14,0x00000a600e64c26be24f64169c89f21c1f530000,Gnosis Chain,1,7961
15,0x00000b20f0f6a3a212aa6b85106709cd5941457c,Gnosis Chain,3037,99
16,0x000010b467dd057220c543c1d014ec06c2c7e206,Gnosis Chain,4916,99
17,0x0000baa55a9c2a06a3922c563d8d9fcb1a0dbf2f,Gnosis Chain,8,99
18,0x0000ce08fa224696a819877070bf378e8b131acf,Gnosis Chain,335770,9149
19,0x0000d211abbb7f8d9e126ed7deca862dae8784a6,Gnosis Chain,22,99
20,0x0000ecb341a3c0bb394f377d3a524703fb8b76fb,Gnosis Chain,2943,3
21,0x000109758a583eff3c40cf845ee35a01582ba816,Gnosis Chain,111,99
22,0x00014039aa1a66fc1b78451d3b2a75b273894769,Gnosis Chain,1,99
23,0x0001477f5bd4bc28c7179f795adbad64e4688172,Gnosis Chain,3,99
24,0x00014ed7e7d51fd03a95fd5fbaf6098e5fe17bff,Gnosis Chain,192,99
25,0x000158e60c393b51fdfac71b14ce70b70148c326,Gnosis Chain,17208,99
26,0x00015f4a9b778a81cde7a9e6330bf0e2b46a882b,Gnosis Chain,2,99
27,0x0002039f234e9bb0bdb880560677fb74df0a5510,Gnosis Chain,21046,4
28,0x0002208085f5e1946500ad6616aa0ee2f19e826d,Gnosis Chain,20213,213
29,0x00029d35cb7ae09d38037355a046791d7b5e1645,Gnosis Chain,9872,99
30,0x00035ab46994cda43f150b2be16bb7ca423171c7,Gnosis Chain,145,995
31,0x000729f1022cbf699dafc3928b6e92ce2fe33841,Gnosis Chain,156912,99
32,0x0007448f4ba168e24c35f835eefa1a76587d691d,Gnosis Chain,52459,99
33,0x00078895aa3aba42c1bb8e57daed3a60faea4cdd,Gnosis Chain,71,3
34,0x000814f58378c630cfaa2c6ffb8791897c5e93f0,Gnosis Chain,13447,1846
35,0x0008906ca2e1d42dfb6bbcda7f9b709a0cfa8dfc,Gnosis Chain,3357,995
36,0x00097db4baab538054544d233feff4285d9a9c6f,Gnosis Chain,28,99
37,0x0009f809c608cb283bf06571d1bbcfdbe7fdacd3,Gnosis Chain,16933,99
